EmployeeNumber,EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,HireDate,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,TerminationDate,BusinessTravel,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
2290,EMP02290,Edward,Davis,Male,45,Married,PhD,Marketing,R&D,Director of R&D,5,2016-10-24,8,0,0,6,No,,Travel_Frequently,344,24,1,43,3,1,152202,167422.2,1,Y,No,16,3,1,40,0,9,0,3
2291,EMP02291,Robin,Stevens,Female,42,Married,Master,Other,R&D,R&D Manager,4,2022-09-12,2,0,0,0,Yes,2024-11-05,Non-Travel,448,30,1,56,3,1,95035,104538.50000000001,5,Y,No,18,3,2,40,0,7,5,2
2292,EMP02292,Brandy,Brown,Female,41,Married,Associate,Life Sciences,Sales,Sales Manager,3,2023-12-09,1,1,0,0,No,,Non-Travel,232,22,1,29,1,4,76830,84513.0,5,Y,Yes,23,3,1,40,0,6,6,1
2293,EMP02293,Pamela,Barrera,Female,48,Single,Associate,Life Sciences,R&D,R&D Manager,4,2024-09-05,0,0,0,0,Yes,,Travel_Rarely,424,32,1,53,4,2,88989,97887.90000000001,2,Y,No,20,2,1,40,0,2,3,1
2294,EMP02294,Daniel,Wong,Male,32,Married,Master,Technical Degree,R&D,R&D Manager,4,2014-12-15,6,1,1,1,Yes,2021-10-03,Non-Travel,264,18,1,33,4,3,128171,140988.1,9,Y,No,18,3,4,40,0,15,2,1
2295,EMP02295,Erin,Smith,Female,45,Single,Master,Technical Degree,R&D,Director of R&D,5,2023-12-01,1,1,0,0,No,,Non-Travel,272,44,1,34,3,4,145400,159940.0,3,Y,No,19,3,1,40,0,4,4,3
2296,EMP02296,Tamara,Harrison,Female,32,Single,High School,Other,HR,HR Specialist,1,2016-05-09,9,5,4,5,No,,Travel_Rarely,208,42,1,26,1,4,30266,33292.600000000006,1,Y,Yes,16,4,3,40,1,10,1,3
2297,EMP02297,Andrew,Harvey,Male,33,Married,Bachelor,Life Sciences,HR,HR Director,5,2023-12-19,1,0,0,0,No,,Non-Travel,368,29,1,46,3,1,70668,77734.8,4,Y,No,25,5,3,40,0,5,1,3
2298,EMP02298,Alyssa,Montoya,Female,56,Married,PhD,Marketing,R&D,Director of R&D,5,2022-12-08,2,1,1,0,No,,Non-Travel,440,45,1,55,4,3,155153,170668.30000000002,8,Y,Yes,17,4,2,40,1,10,0,3
2299,EMP02299,Whitney,Finley,Female,57,Single,Master,Technical Degree,R&D,R&D Manager,4,2015-12-11,9,5,1,5,No,,Non-Travel,336,41,1,42,2,4,98744,108618.40000000001,7,Y,Yes,15,5,2,40,0,16,1,2
2300,EMP02300,Timothy,Collins,Male,37,Single,Bachelor,Other,R&D,Director of R&D,5,2023-11-22,1,0,0,0,No,,Non-Travel,424,42,1,53,3,1,136520,150172.0,2,Y,No,17,4,1,40,1,3,4,4
2301,EMP02301,Elizabeth,Swanson,Female,47,Single,PhD,Technical Degree,Sales,Sales Director,5,2023-09-27,1,0,0,1,No,,Travel_Rarely,248,28,1,31,2,3,105349,115883.90000000001,1,Y,Yes,19,5,4,40,1,2,3,2
2302,EMP02302,Eric,Hall,Male,52,Single,Bachelor,Technical Degree,HR,HR Director,5,2021-05-06,4,2,0,0,No,,Non-Travel,264,41,1,33,3,2,78085,85893.5,10,Y,No,17,3,2,40,0,14,4,2
2303,EMP02303,Amy,Serrano,Female,50,Single,Associate,Technical Degree,Sales,Sales Manager,3,2024-08-23,0,0,0,0,No,,Non-Travel,424,30,1,53,4,4,78382,86220.20000000001,8,Y,No,22,3,3,40,0,8,3,4
2304,EMP02304,Erica,Green,Female,33,Single,Master,Marketing,R&D,Director of R&D,5,2024-04-19,1,1,1,0,No,,Non-Travel,328,19,1,41,1,1,159072,174979.2,8,Y,No,12,4,4,40,0,9,6,1
2305,EMP02305,Karen,Morris,Female,39,Single,Associate,Marketing,HR,HR Specialist,1,2021-10-23,3,1,1,1,No,,Non-Travel,184,17,1,23,3,4,46728,51400.8,9,Y,No,24,5,2,40,0,12,5,3
2306,EMP02306,Kristen,Taylor,Female,26,Married,Associate,Marketing,Sales,Sales Executive,1,2015-02-02,10,0,0,0,No,,Travel_Rarely,256,30,1,32,1,3,47828,52610.8,9,Y,No,15,5,3,40,1,19,1,2
2307,EMP02307,Linda,Stevens,Female,48,Single,Master,Life Sciences,R&D,Director of R&D,5,2021-04-11,4,0,0,2,No,,Non-Travel,256,19,1,32,1,3,156766,172442.6,1,Y,Yes,24,1,1,40,2,5,1,1
2308,EMP02308,Joshua,James,Male,45,Single,Bachelor,Marketing,R&D,R&D Manager,4,2023-08-24,0,0,0,0,Yes,2024-05-27,Non-Travel,456,20,1,57,3,4,129223,142145.30000000002,7,Y,No,15,3,4,40,2,7,1,3
2309,EMP02309,Daniel,Mclean,Male,36,Divorced,PhD,Technical Degree,R&D,Director of R&D,5,2019-08-18,1,1,1,1,Yes,2020-12-28,Travel_Rarely,208,13,1,26,2,3,153069,168375.90000000002,7,Y,No,23,5,3,40,1,8,5,3
2310,EMP02310,Steven,Mayer,Male,52,Married,Master,Life Sciences,Sales,Sales Director,5,2024-08-03,0,0,0,0,Yes,,Non-Travel,312,8,1,39,2,3,109830,120813.00000000001,8,Y,Yes,17,5,1,40,1,8,0,1
2311,EMP02311,Emily,Morris,Female,57,Married,PhD,Technical Degree,Sales,Sales Director,5,2022-07-01,2,1,0,0,No,,Non-Travel,232,2,1,29,3,3,120610,132671.0,0,Y,No,18,3,1,40,0,2,2,4
2312,EMP02312,Brian,Gonzales,Male,36,Married,Master,Technical Degree,R&D,R&D Manager,4,2017-06-15,8,1,0,3,No,,Non-Travel,408,35,1,51,2,1,108780,119658.00000000001,1,Y,No,16,4,1,40,0,9,1,4
2313,EMP02313,Sheri,Sweeney,Female,27,Married,Associate,Marketing,R&D,Research Scientist,1,2015-06-08,10,1,1,1,No,,Non-Travel,328,43,1,41,3,4,55124,60636.4,2,Y,Yes,13,5,4,40,0,12,5,2
2314,EMP02314,William,Cooper,Male,50,Divorced,Master,Technical Degree,Sales,Sales Executive,1,2014-01-18,11,3,2,2,No,,Non-Travel,160,48,1,20,2,4,62188,68406.8,1,Y,No,24,3,3,40,1,12,1,4
2315,EMP02315,Christopher,Church,Male,36,Divorced,Bachelor,Other,R&D,R&D Manager,4,2016-12-11,8,5,1,2,No,,Non-Travel,336,23,1,42,1,3,99737,109710.70000000001,4,Y,No,12,3,4,40,0,12,6,4
2316,EMP02316,Connie,Delgado,Female,46,Married,Master,Marketing,HR,HR Director,5,2020-10-05,4,0,0,4,No,,Travel_Rarely,344,11,1,43,1,2,78584,86442.40000000001,5,Y,No,17,3,3,40,2,9,5,2
2317,EMP02317,Anthony,Robinson,Male,42,Married,Master,Marketing,Sales,Sales Director,5,2010-12-02,14,0,0,6,No,,Non-Travel,296,39,1,37,4,4,113651,125016.1,6,Y,No,17,2,3,40,0,20,0,4
2318,EMP02318,Matthew,Walter,Male,47,Divorced,Bachelor,Technical Degree,R&D,Senior Researcher,2,2024-12-26,0,0,0,0,No,,Non-Travel,472,47,1,59,3,3,84968,93464.8,7,Y,No,20,4,2,40,0,7,5,2
2319,EMP02319,Linda,Marshall,Non-Binary,29,Married,Bachelor,Life Sciences,HR,HR Manager,3,2013-08-23,11,11,0,2,No,,Non-Travel,224,20,1,28,4,2,57466,63212.600000000006,2,Y,Yes,14,5,4,40,0,13,2,4
2320,EMP02320,Kathryn,Gordon,Female,28,Single,Master,Other,Sales,Sales Manager,3,2017-03-20,8,3,2,4,No,,Travel_Rarely,304,28,1,38,4,1,73622,80984.20000000001,3,Y,No,17,4,3,40,0,11,4,3
2321,EMP02321,Matthew,Flores,Male,59,Married,Bachelor,Medical,R&D,Director of R&D,5,2016-05-10,9,9,9,6,No,,Non-Travel,384,4,1,48,3,3,138377,152214.7,4,Y,No,19,3,3,40,0,13,3,3
2322,EMP02322,Michael,Ramos,Male,36,Married,Associate,Life Sciences,R&D,Senior Researcher,2,2019-06-17,3,2,2,3,Yes,2022-06-28,Non-Travel,336,15,1,42,2,2,81624,89786.40000000001,10,Y,No,24,5,4,40,0,13,6,4
2323,EMP02323,Denise,Bowers,Female,32,Single,Master,Other,R&D,Director of R&D,5,2021-12-06,3,0,0,3,No,,Travel_Rarely,240,32,1,30,3,1,141734,155907.40000000002,1,Y,No,21,4,2,40,0,4,0,4
2324,EMP02324,Robert,Mcconnell,Male,37,Single,Bachelor,Medical,HR,HR Manager,3,2011-01-19,14,10,6,5,No,,Non-Travel,288,23,1,36,2,2,61395,67534.5,8,Y,Yes,19,3,1,40,0,22,1,3
2325,EMP02325,Maureen,Hall,Female,58,Married,PhD,Medical,R&D,Director of R&D,5,2023-10-03,1,0,0,1,No,,Non-Travel,304,35,1,38,4,2,162682,178950.2,4,Y,No,21,3,4,40,0,5,5,3
2326,EMP02326,Andrew,Delacruz,Male,51,Married,Bachelor,Technical Degree,HR,HR Manager,3,2018-03-23,7,6,0,4,No,,Travel_Rarely,192,43,1,24,2,4,60635,66698.5,7,Y,Yes,16,5,1,40,0,14,3,4
2327,EMP02327,James,Gross,Male,40,Married,High School,Life Sciences,Sales,Sales Manager,3,2024-03-22,0,0,0,0,Yes,2024-10-31,Non-Travel,304,49,1,38,1,2,84475,92922.50000000001,8,Y,Yes,13,4,4,40,1,8,5,2
2328,EMP02328,Jessica,Neal,Female,35,Single,Master,Marketing,HR,HR Director,5,2022-01-18,3,2,0,0,No,,Non-Travel,256,12,1,32,1,1,72786,80064.6,10,Y,No,22,2,4,40,3,13,6,4
2329,EMP02329,Crystal,Mooney,Female,40,Divorced,Bachelor,Life Sciences,HR,HR Director,5,2019-10-25,5,5,5,0,No,,Travel_Frequently,384,11,1,48,3,4,83058,91363.8,7,Y,No,24,3,4,40,0,12,4,2
2330,EMP02330,Anna,Pope,Female,42,Married,Master,Technical Degree,R&D,Director of R&D,5,2022-02-11,3,2,1,3,No,,Travel_Frequently,416,17,1,52,2,4,134722,148194.2,8,Y,Yes,25,3,1,40,0,11,6,3
2331,EMP02331,Cheryl,Warren,Female,34,Single,Associate,Technical Degree,R&D,Research Scientist,1,2019-10-22,5,1,0,0,No,,Non-Travel,288,41,1,36,3,1,61760,67936.0,3,Y,No,20,3,2,40,1,8,0,1
2332,EMP02332,Carly,Beck,Female,37,Married,PhD,Technical Degree,R&D,Director of R&D,5,2024-05-15,1,0,0,1,No,,Non-Travel,400,6,1,50,3,4,164676,181143.6,6,Y,No,16,5,1,40,0,7,2,3
2333,EMP02333,Michael,Liu,Male,32,Single,Associate,Marketing,R&D,Senior Researcher,2,2021-09-08,3,3,0,0,No,,Non-Travel,208,1,1,26,4,4,85691,94260.1,5,Y,No,23,5,1,40,1,8,2,1
2334,EMP02334,Lauren,Mosley,Female,34,Single,Master,Life Sciences,HR,HR Director,5,2023-09-27,0,0,0,0,Yes,2024-07-15,Travel_Rarely,328,23,1,41,2,4,70954,78049.40000000001,6,Y,No,20,4,1,40,0,6,2,3
2335,EMP02335,Sara,Ali,Female,36,Married,PhD,Medical,HR,HR Director,5,2022-04-03,3,0,0,1,No,,Travel_Rarely,176,17,1,22,1,3,91499,100648.90000000001,8,Y,No,24,3,3,40,0,11,0,4
2336,EMP02336,Timothy,Sandoval,Male,54,Single,Bachelor,Technical Degree,R&D,R&D Manager,4,2017-08-13,7,0,0,3,No,,Travel_Rarely,208,13,1,26,4,3,128618,141479.80000000002,8,Y,No,18,4,4,40,2,15,5,3
2337,EMP02337,Nancy,Washington,Non-Binary,46,Married,PhD,Life Sciences,HR,HR Director,5,2019-03-15,6,5,4,0,No,,Non-Travel,456,11,1,57,4,2,91208,100328.8,7,Y,No,20,2,1,40,0,13,0,3
2338,EMP02338,Janice,Wood,Female,44,Married,High School,Technical Degree,R&D,Research Scientist,1,2022-02-25,2,2,0,2,Yes,2024-09-03,Non-Travel,328,39,1,41,2,3,53976,59373.600000000006,7,Y,No,13,3,1,40,0,9,6,3
2339,EMP02339,Jacqueline,Watkins,Female,54,Single,PhD,Other,Sales,Sales Director,5,2023-05-28,2,1,1,1,No,,Travel_Rarely,456,25,1,57,3,2,98920,108812.00000000001,3,Y,Yes,20,4,3,40,0,5,2,4
2340,EMP02340,Michelle,Scott,Female,46,Married,Master,Marketing,R&D,Director of R&D,5,2011-05-26,14,8,2,0,No,,Travel_Rarely,176,8,1,22,1,2,139425,153367.5,8,Y,No,13,3,4,40,0,22,1,3
2341,EMP02341,Michael,Robinson,Male,32,Single,Bachelor,Technical Degree,R&D,R&D Manager,4,2022-09-16,0,0,0,0,Yes,2023-07-10,Non-Travel,352,31,1,44,1,3,125775,138352.5,2,Y,No,24,2,2,40,0,2,3,4
2342,EMP02342,Elizabeth,Reeves,Female,50,Single,Bachelor,Technical Degree,R&D,R&D Manager,4,2024-11-23,0,0,0,0,Yes,,Non-Travel,272,15,1,34,4,4,109884,120872.40000000001,1,Y,Yes,11,4,1,40,0,1,3,3
2343,EMP02343,Sandra,Nixon,Female,44,Married,Master,Technical Degree,HR,HR Manager,3,2014-10-26,10,7,3,10,No,,Non-Travel,240,15,1,30,4,3,61307,67437.70000000001,0,Y,No,22,4,4,40,1,10,3,3
2344,EMP02344,Xavier,Simmons,Male,58,Single,High School,Life Sciences,R&D,Senior Researcher,2,2020-02-06,4,0,0,4,Yes,2024-02-21,Travel_Frequently,176,31,1,22,1,3,97344,107078.40000000001,9,Y,No,18,3,2,40,1,13,6,1
2345,EMP02345,Tiffany,Sanders,Female,38,Married,Bachelor,Life Sciences,R&D,R&D Manager,4,2023-11-04,1,0,0,1,No,,Travel_Rarely,272,34,1,34,3,3,105178,115695.8,5,Y,No,25,3,1,40,1,6,6,2
2346,EMP02346,Sandra,Hernandez,Female,55,Married,Master,Technical Degree,R&D,Senior Researcher,2,2018-03-22,7,7,1,7,No,,Non-Travel,392,46,1,49,3,2,88223,97045.3,9,Y,No,12,3,2,40,0,16,5,3
2347,EMP02347,Cassandra,Johnson,Female,56,Married,Master,Technical Degree,R&D,Director of R&D,5,2022-01-15,3,3,3,3,No,,Travel_Frequently,240,49,1,30,3,1,132877,146164.7,8,Y,No,13,3,1,40,0,11,3,4
2348,EMP02348,Elizabeth,Coleman,Female,43,Married,PhD,Other,Sales,Sales Director,5,2018-05-13,7,1,0,5,No,,Non-Travel,224,27,1,28,4,3,103465,113811.50000000001,1,Y,Yes,21,3,4,40,0,8,0,3
2349,EMP02349,Vanessa,Melton,Female,28,Single,Associate,Marketing,Sales,Sales Manager,3,2018-11-04,6,6,0,1,No,,Travel_Rarely,448,5,1,56,1,3,73346,80680.6,7,Y,No,20,3,1,40,1,13,1,2
2350,EMP02350,Collin,Scott,Male,41,Single,PhD,Technical Degree,HR,HR Director,5,2022-06-26,1,0,0,1,Yes,2024-03-17,Travel_Rarely,448,1,1,56,2,1,81497,89646.70000000001,5,Y,Yes,13,4,3,40,0,6,1,1
2351,EMP02351,Kristin,Ochoa,Female,59,Single,Master,Other,R&D,Director of R&D,5,2020-10-02,1,0,0,0,Yes,2022-02-27,Non-Travel,320,18,1,40,3,3,146052,160657.2,5,Y,No,15,1,1,40,1,6,0,4
2352,EMP02352,William,Patel,Male,32,Single,Associate,Marketing,R&D,R&D Manager,4,2010-02-09,10,3,2,5,Yes,2020-04-15,Travel_Frequently,336,1,1,42,4,2,92261,101487.1,5,Y,No,18,3,1,40,0,15,6,3
2353,EMP02353,Danielle,Blair,Female,58,Married,Master,Medical,Sales,Sales Director,5,2019-03-08,5,2,1,4,Yes,2024-10-31,Travel_Frequently,168,1,1,21,1,2,91687,100855.70000000001,9,Y,No,21,4,2,40,0,14,6,3
2354,EMP02354,William,Patterson,Male,53,Single,Bachelor,Technical Degree,Sales,Sales Director,5,2022-12-09,2,0,0,2,No,,Non-Travel,264,17,1,33,3,2,109546,120500.6,6,Y,No,12,3,2,40,3,8,1,3
2355,EMP02355,Jillian,Harrison,Female,57,Single,Master,Marketing,Sales,Sales Manager,3,2023-04-14,2,0,0,1,No,,Travel_Rarely,304,34,1,38,1,2,82345,90579.50000000001,5,Y,No,20,3,1,40,0,7,6,3
2356,EMP02356,Dave,Tyler,Male,32,Married,PhD,Technical Degree,Sales,Sales Director,5,2022-09-15,2,1,0,0,No,,Non-Travel,424,4,1,53,4,2,101741,111915.1,6,Y,Yes,18,3,2,40,0,8,1,1
2357,EMP02357,Michelle,Harrison,Female,51,Single,Master,Other,R&D,Director of R&D,5,2019-12-19,5,4,1,1,No,,Travel_Rarely,280,8,1,35,3,4,155162,170678.2,2,Y,No,14,4,3,40,0,7,3,1
2358,EMP02358,Michael,Perez,Male,31,Married,Associate,Technical Degree,R&D,Senior Researcher,2,2021-08-12,3,1,0,0,No,,Non-Travel,368,44,1,46,4,3,87889,96677.90000000001,8,Y,Yes,11,2,4,40,0,11,0,4
2359,EMP02359,Alexandra,Webb,Female,47,Married,Bachelor,Life Sciences,R&D,R&D Manager,4,2020-01-23,4,0,0,0,Yes,2024-09-26,Non-Travel,432,12,1,54,4,3,116039,127642.90000000001,5,Y,No,22,3,3,40,2,9,2,4
2360,EMP02360,Michael,Price,Male,37,Married,PhD,Technical Degree,R&D,Director of R&D,5,2022-04-27,2,1,0,2,Yes,2024-06-12,Travel_Rarely,376,37,1,47,1,1,169718,186689.80000000002,6,Y,Yes,13,3,1,40,1,8,6,3
2361,EMP02361,Brent,Santiago,Male,36,Single,Bachelor,Technical Degree,Sales,Sales Manager,3,2019-03-20,6,2,1,1,No,,Non-Travel,216,31,1,27,4,1,73549,80903.90000000001,2,Y,No,23,3,2,40,0,8,0,2
2362,EMP02362,Ashley,Deleon,Female,51,Married,Associate,Technical Degree,R&D,Senior Researcher,2,2013-06-16,12,4,1,1,No,,Travel_Rarely,192,5,1,24,2,3,94196,103615.6,8,Y,Yes,17,5,1,40,0,20,6,3
2363,EMP02363,Alexander,Jackson,Male,39,Single,Master,Life Sciences,Sales,Sales Director,5,2021-09-05,3,0,0,0,No,,Non-Travel,200,8,1,25,2,4,117518,129269.80000000002,4,Y,No,18,3,2,40,0,7,1,3
2364,EMP02364,Donna,Brown,Female,36,Single,Bachelor,Life Sciences,Sales,Sales Director,5,2022-12-18,2,1,0,0,No,,Travel_Rarely,168,14,1,21,4,3,88542,97396.20000000001,9,Y,No,15,4,4,40,1,11,6,4
2365,EMP02365,Taylor,Brown,Female,58,Married,Master,Life Sciences,HR,HR Director,5,2014-11-13,10,2,1,6,No,,Non-Travel,424,22,1,53,3,4,73477,80824.70000000001,8,Y,No,18,4,1,40,0,18,4,2
2366,EMP02366,Mark,Becker,Male,33,Married,Bachelor,Life Sciences,Sales,Sales Director,5,2024-03-11,0,0,0,0,Yes,2024-10-21,Non-Travel,328,42,1,41,2,4,119163,131079.30000000002,4,Y,No,14,3,1,40,1,4,2,4
2367,EMP02367,Jessica,Garcia,Female,45,Married,Master,Marketing,R&D,Director of R&D,5,2023-06-07,2,0,0,2,No,,Travel_Frequently,456,24,1,57,3,2,142942,157236.2,6,Y,No,23,4,3,40,0,8,5,3
2368,EMP02368,Steven,Buckley,Male,42,Single,Bachelor,Technical Degree,R&D,R&D Manager,4,2021-12-06,3,3,3,2,No,,Travel_Rarely,232,3,1,29,1,4,101544,111698.40000000001,3,Y,No,16,2,3,40,1,6,2,1
2369,EMP02369,Ashley,Morris,Female,29,Married,Associate,Medical,HR,HR Specialist,1,2016-03-01,9,4,0,4,No,,Non-Travel,440,38,1,55,2,1,33008,36308.8,0,Y,Yes,16,1,3,40,0,9,4,3
2370,EMP02370,Ronald,Roberts,Male,56,Divorced,Master,Other,R&D,Director of R&D,5,2018-05-12,7,7,2,1,No,,Non-Travel,320,28,1,40,4,3,145352,159887.2,0,Y,No,17,5,3,40,0,7,6,3
2371,EMP02371,Amy,Young,Female,41,Single,Associate,Life Sciences,R&D,R&D Manager,4,2020-06-10,5,4,4,1,No,,Travel_Rarely,336,21,1,42,3,4,120207,132227.7,5,Y,Yes,22,3,1,40,1,10,6,4
2372,EMP02372,Kelly,Mays,Female,48,Married,Master,Life Sciences,HR,HR Manager,3,2019-09-01,5,1,1,5,No,,Non-Travel,280,3,1,35,3,3,58041,63845.100000000006,5,Y,No,21,1,1,40,0,10,2,2
2373,EMP02373,Renee,Barnes,Female,36,Married,PhD,Technical Degree,R&D,R&D Manager,4,2018-05-03,7,1,0,1,No,,Non-Travel,424,29,1,53,3,4,116432,128075.20000000001,2,Y,No,22,4,2,40,0,9,5,2
2374,EMP02374,Ronald,Wolfe,Male,51,Single,High School,Medical,R&D,Research Scientist,1,2016-05-22,9,2,2,2,No,,Non-Travel,224,23,1,28,2,1,48750,53625.00000000001,10,Y,Yes,18,2,4,40,0,19,5,1
2375,EMP02375,Travis,Armstrong,Male,46,Single,Associate,Technical Degree,HR,HR Specialist,1,2023-04-20,2,0,0,1,No,,Travel_Frequently,456,44,1,57,2,2,33185,36503.5,7,Y,No,19,2,3,40,1,9,4,2
2376,EMP02376,Evan,Miller,Male,51,Married,Bachelor,Technical Degree,Sales,Sales Manager,3,2020-02-26,5,0,0,2,No,,Non-Travel,440,29,1,55,3,1,84929,93421.90000000001,2,Y,No,24,4,3,40,0,7,6,4
2377,EMP02377,Debra,Lozano,Female,42,Married,Master,Marketing,Sales,Sales Director,5,2023-12-06,1,0,0,1,No,,Travel_Rarely,176,32,1,22,3,4,114957,126452.70000000001,6,Y,Yes,13,3,3,40,3,7,3,4
2378,EMP02378,Lynn,Robertson,Female,55,Married,Bachelor,Technical Degree,HR,HR Manager,3,2018-12-27,6,0,0,6,No,,Non-Travel,240,29,1,30,1,2,68089,74897.90000000001,9,Y,No,14,4,3,40,0,15,2,4
2379,EMP02379,William,Gay,Male,46,Single,Master,Medical,HR,HR Director,5,2022-02-05,2,2,2,1,Yes,2024-10-18,Non-Travel,440,40,1,55,1,2,81790,89969.0,0,Y,Yes,13,5,3,40,0,2,2,2
2380,EMP02380,Dominique,Price,Female,45,Single,Associate,Marketing,R&D,Director of R&D,5,2020-10-27,4,4,4,3,No,,Non-Travel,400,26,1,50,1,4,138475,152322.5,7,Y,No,17,5,4,40,0,11,2,4
2381,EMP02381,Christopher,Roberts,Male,46,Single,Associate,Technical Degree,HR,HR Manager,3,2021-02-02,4,4,0,2,No,,Non-Travel,304,30,1,38,3,1,66328,72960.8,0,Y,No,14,3,3,40,0,4,4,4
2382,EMP02382,Cynthia,Allison,Female,41,Married,High School,Other,R&D,R&D Manager,4,2022-07-16,2,0,0,2,Yes,2024-12-16,Non-Travel,456,7,1,57,2,4,95241,104765.1,9,Y,No,15,5,2,40,1,11,4,3
2383,EMP02383,Christine,Gray,Female,52,Married,Associate,Life Sciences,R&D,Director of R&D,5,2013-03-15,12,7,6,4,No,,Travel_Rarely,168,7,1,21,3,2,153555,168910.5,5,Y,Yes,21,5,4,40,1,17,4,2
2384,EMP02384,Courtney,Larsen,Female,54,Single,Master,Technical Degree,R&D,Director of R&D,5,2018-02-01,6,4,0,4,Yes,2024-04-19,Non-Travel,280,3,1,35,4,2,130593,143652.30000000002,7,Y,Yes,22,4,1,40,1,13,0,2
2385,EMP02385,Douglas,Ball,Male,44,Single,PhD,Technical Degree,Sales,Sales Director,5,2022-08-21,1,0,0,1,Yes,2023-12-24,Non-Travel,440,22,1,55,2,1,128245,141069.5,5,Y,Yes,14,3,2,40,0,6,4,1
2386,EMP02386,Amy,Mendoza,Female,39,Single,PhD,Life Sciences,HR,HR Director,5,2022-01-12,3,2,1,2,No,,Travel_Rarely,360,17,1,45,2,3,87357,96092.70000000001,6,Y,No,16,5,4,40,1,9,5,3
2387,EMP02387,Douglas,Murphy,Male,58,Married,PhD,Technical Degree,R&D,Director of R&D,5,2022-06-16,2,0,0,2,No,,Non-Travel,184,19,1,23,3,2,169569,186525.90000000002,1,Y,No,25,3,3,40,0,3,1,4
2388,EMP02388,Jill,Clay,Female,35,Single,Associate,Marketing,Sales,Sales Executive,1,2021-07-27,3,0,0,1,No,,Non-Travel,192,27,1,24,1,4,42776,47053.600000000006,2,Y,No,16,3,4,40,0,5,4,4
2389,EMP02389,David,Alexander,Male,38,Divorced,Master,Life Sciences,R&D,R&D Manager,4,2017-12-27,7,2,1,5,No,,Non-Travel,264,25,1,33,4,2,111303,122433.3,9,Y,No,16,5,2,40,0,16,0,3
2390,EMP02390,Penny,Bradley,Female,49,Single,PhD,Technical Degree,Sales,Sales Director,5,2022-02-13,3,0,0,1,No,,Travel_Rarely,176,30,1,22,4,4,91763,100939.3,4,Y,No,17,5,4,40,0,7,1,4
2391,EMP02391,Cynthia,Ray,Female,35,Married,Associate,Medical,R&D,Director of R&D,5,2020-12-21,2,0,0,2,Yes,2023-05-11,Non-Travel,232,12,1,29,1,1,125347,137881.7,8,Y,No,11,4,2,40,1,10,0,4
2392,EMP02392,Ethan,Smith,Male,58,Married,PhD,Technical Degree,Sales,Sales Director,5,2021-04-07,4,4,1,2,No,,Non-Travel,168,44,1,21,2,2,98850,108735.00000000001,1,Y,Yes,14,4,3,40,2,5,3,3
2393,EMP02393,Trevor,Riley,Male,40,Single,Bachelor,Technical Degree,HR,HR Director,5,2023-03-23,2,0,0,2,No,,Travel_Rarely,472,34,1,59,2,4,82021,90223.1,8,Y,No,17,3,3,40,0,10,0,4
2394,EMP02394,David,Watkins,Male,34,Married,Master,Life Sciences,Sales,Sales Manager,3,2022-01-27,3,3,1,3,No,,Travel_Rarely,176,44,1,22,2,4,67532,74285.20000000001,0,Y,No,23,3,2,40,0,3,1,3
2395,EMP02395,Alicia,Morris,Female,32,Married,PhD,Other,R&D,Director of R&D,5,2021-02-11,4,0,0,2,No,,Non-Travel,320,46,1,40,3,2,153058,168363.80000000002,10,Y,No,18,4,1,40,0,14,2,1
2396,EMP02396,Timothy,Gonzalez,Male,59,Single,Master,Marketing,R&D,Director of R&D,5,2018-12-09,6,5,4,3,No,,Non-Travel,408,40,1,51,1,4,154876,170363.6,8,Y,Yes,13,2,4,40,1,14,6,2
2397,EMP02397,Kenneth,Mccoy,Male,43,Married,High School,Life Sciences,HR,HR Specialist,1,2021-03-12,3,3,0,1,Yes,2024-07-31,Non-Travel,176,2,1,22,3,1,47951,52746.100000000006,7,Y,No,19,3,2,40,0,10,6,4
2398,EMP02398,Nicholas,Bond,Male,56,Married,PhD,Technical Degree,HR,HR Director,5,2022-03-16,3,0,0,3,No,,Non-Travel,328,47,1,41,3,3,97114,106825.40000000001,5,Y,No,14,5,1,40,0,8,2,2
2399,EMP02399,Timothy,Chang,Male,30,Divorced,Bachelor,Life Sciences,Sales,Sales Manager,3,2024-06-18,0,0,0,0,No,,Non-Travel,416,45,1,52,1,2,73974,81371.40000000001,10,Y,No,13,3,3,40,2,10,6,2
2400,EMP02400,Lauren,Wu,Female,46,Married,Associate,Marketing,Sales,Sales Manager,3,2020-04-19,5,0,0,5,No,,Non-Travel,200,40,1,25,3,2,67038,73741.8,3,Y,No,18,4,3,40,0,8,5,3
2401,EMP02401,Jonathan,Scott,Male,48,Married,Associate,Life Sciences,R&D,R&D Manager,4,2020-03-15,5,3,0,5,No,,Non-Travel,352,44,1,44,4,4,117747,129521.70000000001,3,Y,Yes,17,3,3,40,0,8,0,3
2402,EMP02402,Daniel,Hawkins,Male,46,Married,PhD,Technical Degree,R&D,Director of R&D,5,2020-12-26,4,4,4,4,No,,Non-Travel,232,27,1,29,3,2,171652,188817.2,1,Y,No,19,3,4,40,0,5,3,3
